"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 19-Mar-2024"
NIFTY 50,"23,036.60","23,185.10","22,973.95","22,907.60","23,176.60",-,269,1.17,"19,85,49,281","16,951.42","26,277.35","21,281.45",-0.23,5
BHARTIARTL,"1,660.00","1,698.70","1,646.10","1,637.15","1,697.00",-,59.85,3.66,"72,45,165","1,213.71","1,779.00","1,183.10",-2.29,33.28
TITAN,"3,100.00","3,196.80","3,080.00","3,076.30","3,184.10",-,107.8,3.5,"10,15,496",320.63,"3,867.00","2,985.05",-4.85,-14.15
BAJAJ-AUTO,"7,734.95","7,951.95","7,722.00","7,721.85","7,938.60",-,216.75,2.81,"4,45,079",350.5,"12,774.00","7,301.00",-9.55,-10.63
EICHERMOT,"5,129.00","5,258.95","5,113.30","5,100.90","5,238.45",-,137.55,2.7,"3,45,793",180.17,"5,575.50","3,672.00",7.5,37.24
BPCL,266.6,272.93,264.75,265.26,272.15,-,6.89,2.6,"71,71,778",192.91,376,234.01,5.14,-52.44
HCLTECH,"1,547.85","1,582.10","1,547.05","1,544.45","1,580.40",-,35.95,2.33,"25,23,602",396.13,"2,012.20","1,235.00",-9.68,-3.42
HEROMOTOCO,"3,579.00","3,634.00","3,561.25","3,537.00","3,618.65",-,81.65,2.31,"5,67,747",204.3,"6,246.25","3,461.60",-8.76,-22.12
BRITANNIA,"4,741.90","4,817.95","4,715.00","4,707.10","4,801.15",-,94.05,2,"1,25,728",60.09,"6,469.90","4,506.00",-5.17,-2.28
BEL,294.81,296.27,291.1,290,295.63,-,5.63,1.94,"1,83,83,233",540.83,340.5,182.5,16.7,56.42
TCS,"3,512.00","3,578.95","3,512.00","3,497.10","3,564.75",-,67.65,1.93,"17,39,999",619.11,"4,592.25","3,457.00",-10.43,-12.07
INFY,"1,592.00","1,631.90","1,592.00","1,586.55","1,616.85",-,30.3,1.91,"41,61,917",672.5,"2,006.45","1,358.35",-13.88,1.61
HINDUNILVR,"2,203.90","2,241.90","2,188.45","2,200.05","2,241.15",-,41.1,1.87,"7,16,645",159.15,"3,035.00","2,136.00",-5.55,-2.95
JSWSTEEL,"1,038.00","1,052.80","1,027.20","1,033.35","1,050.95",-,17.6,1.7,"11,77,986",122.61,"1,063.00",789.3,6.14,29
RELIANCE,"1,251.85","1,268.50","1,250.05","1,247.15","1,267.25",-,20.1,1.61,"91,45,018","1,149.88","1,608.80","1,156.00",1.82,-56.25
NESTLEIND,"2,204.00","2,218.95","2,181.15","2,184.00","2,218.40",-,34.4,1.58,"3,04,584",67.17,"2,778.00","2,110.00",-1.47,-12.5
TATACONSUM,953.1,965.35,950.25,949.85,964.1,-,14.25,1.5,"18,07,284",172.9,"1,250.10",882.9,-7.17,-17.13
M&M,"2,803.75","2,847.00","2,801.00","2,789.10","2,830.45",-,41.35,1.48,"16,56,003",468.04,"3,270.95","1,820.55",-1.51,51.26
HINDALCO,702.5,709.85,697.6,698.55,708.5,-,9.95,1.42,"29,63,000",208.52,772.65,516.35,14.36,30.9
ONGC,233.48,236.45,232.01,232.57,235.86,-,3.29,1.41,"1,48,02,616",347.52,345,215.48,-0.46,-10.29
POWERGRID,283.5,283.55,277.05,277.2,281,-,3.8,1.37,"92,40,075",258.09,366.25,247.3,5.32,7.03
TECHM,"1,403.15","1,421.00","1,400.05","1,396.15","1,414.75",-,18.6,1.33,"21,52,376",304.52,"1,807.70","1,162.95",-16.14,11.49
HDFCBANK,"1,754.00","1,768.00","1,749.30","1,744.10","1,766.85",-,22.75,1.3,"55,08,304",966.61,"1,880.00","1,421.25",1.56,20.34
WIPRO,269.2,273.95,267.65,265.7,269.05,-,3.35,1.26,"1,24,49,412",336.81,324.6,208.5,-12.99,-46.31
HDFCLIFE,665,675,659.1,664.55,672.95,-,8.4,1.26,"26,29,361",176.13,761.2,511.4,6.63,5.07
TATAMOTORS,685,692.7,679,682.25,690.7,-,8.45,1.24,"69,98,471",479.81,"1,179.00",606.3,-0.63,-28.77
DRREDDY,"1,178.95","1,188.55","1,165.30","1,172.10","1,186.15",-,14.05,1.2,"10,34,278",121.76,"1,421.49","1,092.45",-2.24,-80.89
MARUTI,"11,699.90","11,765.00","11,588.00","11,615.55","11,742.35",-,126.8,1.09,"2,13,943",249.82,"13,680.00","10,725.00",-8.99,0.16
SBILIFE,"1,492.00","1,505.05","1,488.50","1,484.90","1,499.85",-,14.95,1.01,"4,06,752",60.89,"1,936.00","1,307.70",0.59,1.61
SUNPHARMA,"1,735.65","1,753.70","1,722.90","1,732.35","1,749.45",-,17.1,0.99,"7,14,389",124.52,"1,960.35","1,377.20",1.06,11.88
ADANIENT,"2,348.00","2,348.00","2,299.00","2,318.65","2,337.55",-,18.9,0.82,"17,35,136",403.77,"3,743.90","2,025.00",4.27,-24.05
SHRIRAMFIN,690,695,665,667.95,673.2,-,5.25,0.79,"57,18,634",385.42,730.45,438.6,21.37,-70.79
KOTAKBANK,"2,031.00","2,038.90","2,016.50","2,021.55","2,037.50",-,15.95,0.79,"15,60,322",316.95,"2,051.00","1,543.85",3.92,15.54
GRASIM,"2,464.80","2,477.20","2,448.10","2,458.20","2,473.85",-,15.65,0.64,"1,85,385",45.81,"2,877.75","2,131.00",-0.23,13.08
CIPLA,"1,499.65","1,517.60","1,495.45","1,499.15","1,507.80",-,8.65,0.58,"5,53,419",83.55,"1,702.05","1,317.25",1.66,4.42
ICICIBANK,"1,320.00","1,321.80","1,311.05","1,313.10","1,320.00",-,6.9,0.53,"62,69,350",825.72,"1,362.35","1,048.10",4.95,21.14
AXISBANK,"1,056.25","1,058.90","1,046.90","1,052.05","1,057.10",-,5.05,0.48,"20,85,864",219.68,"1,339.65",933.5,5.95,0.12
SBIN,748,752.7,744.2,745.1,748.5,-,3.4,0.46,"38,46,856",287.52,912,680,2.39,2.94
ADANIPORTS,"1,185.00","1,186.95","1,161.20","1,173.50","1,178.95",-,5.45,0.46,"12,96,374",151.94,"1,621.40",995.65,8.37,-5.45
BAJAJFINSV,"1,842.25","1,855.00","1,814.10","1,842.25","1,849.25",-,7,0.38,"16,78,853",308.21,"2,029.90","1,419.05",-2.78,16.49
NTPC,344.7,344.7,340.3,341.3,342.6,-,1.3,0.38,"89,83,182",307.13,448.45,292.8,12.88,8.88
APOLLOHOSP,"6,465.00","6,465.00","6,363.75","6,427.55","6,449.50",-,21.95,0.34,"2,56,555",164.4,"7,545.35","5,693.20",2.02,5.14
TATASTEEL,160,160.1,156.65,158.6,158.91,-,0.31,0.2,"2,60,76,178",413.18,184.6,122.62,18.1,6.62
